待售房屋,室,厅,卫,面积,面积单位,朝向,楼层,建筑年份,小区名称,区,镇,道路,标签,总价,总价单位,均价,均价单位
小三室 诚意出售 价格可议,3室,1厅,1卫,95.59,㎡,南北,中层(共14层),2019年建造,宝安江南城,西青,杨柳青,青静路66号,"南北,满二年,绿化率高,",165,万,17262,元/㎡
紧邻一中 高铁十一北新玉龙湾 毛坯三居室 楼间距大 低密度,3室,2厅,2卫,115,㎡,南北,低层(共12层),2023年建造,北新玉龙湾,武清,豆张庄镇,"开源道,近新兴路","南北,次新房,",120,万,10435,元/㎡
旭辉燕南园 中间楼层 满二 房龄新 有电梯 朝南 大两房,2室,2厅,0卫,81.87,㎡,南,中层(共28层),2017年建造,旭辉燕南园,西青,精武,京华道21号,"南,VIP房东直卖,满二年,绿化率高,",110,万,13436,元/㎡
理想中的房子 交通便捷配套齐全理想中的房子,2室,1厅,1卫,107.23,㎡,南北,高层(共18层),2008年建造,宝翠花都瞰景园,北辰,瑞景街,"环瑞路,近辰顺路","南北,近地铁,",136,万,12684,元/㎡
晨晖里新楼，不把山 南北通厅，采光好，配套成熟，随时看房。,2室,2厅,1卫,110,㎡,南北,共5层,2012年建造,晨晖里,大港,迎宾街,迎宾街49号,"南北,满五年,",120,万,10910,元/㎡
金隅悦城品香苑 南北通透 电梯房 简单装修 看房方便,2室,2厅,1卫,90.64,㎡,南北,高层(共16层),2013年建造,金隅悦城品香苑,东丽,张贵庄街,惠山道,"南北,有电梯,近地铁,绿化率高,",138,万,15226,元/㎡
中山门东里  左厨右卫户型 小区中间位置 首付25万起,2室,1厅,1卫,63,㎡,南,中层(共7层),1998年建造,中山门东里,河东,中山门,广宁路,"南,满五年,近地铁,",116,万,18413,元/㎡
万科东第 双阳两室价格可议采光充足,2室,2厅,1卫,86.35,㎡,南,高层(共29层),2019年建造,万科东第,西青,李七庄,"昌凌路,近淄环路","南,近地铁,车位充足,户型方正,",180,万,20846,元/㎡
紫泉庭苑 次新房 满二 精装修 有电梯 朝南 刚需两居,2室,1厅,1卫,89.45,㎡,南,低层(共14层),2019年建造,紫泉庭苑,武清,杨村街,上善大街57号,"南,满二年,次新房,",138,万,15428,元/㎡
正荣新上 通透H户型 明厨明卫 电梯6楼 不临街 随时看房,2室,1厅,1卫,85,㎡,南北,低层(共26层),2015年建造,正荣润璟湾,西青,中北,"御河道,近曦露路","南北,热门小区,新上小区,优势户型,",135,万,15883,元/㎡
正荣润璟湾 通透两室 中间楼层 位置好,2室,2厅,1卫,81.16,㎡,南,中层(共26层),2016年建造,正荣润璟湾,西青,中北,"御河道,近曦露路","南,热门小区,配套成熟,随时可看,",129,万,15895,元/㎡
国企开发 南北通透 主卧套房 大户型 中交·春风景里 无中介费随时看,2室,2厅,1卫,77,㎡,南北,,,中交·春风景里,红桥,双环邨街,龙泉道与辰兴路交口西南侧,"轨交房,高绿化率,",154,万,20000,元/㎡
南向采光好 交通便捷 医疗配套成熟 满五 电梯房,2室,2厅,1卫,90,㎡,南,低层(共17层),2017年建造,紫泉庭苑,武清,杨村街,上善大街57号,"南,满五年,采光较好,",138,万,15334,元/㎡
荔城公馆 小区新 商业配套齐全 有电梯 刚需两居 满五  ,2室,2厅,1卫,86.18,㎡,南,高层(共22层),2015年建造,荔城公馆,武清,杨村街,前进道,"南,满五年,",122,万,14157,元/㎡
满五   精装可拎包入住 购物方便 正南朝向 大两居,2室,2厅,1卫,94.28,㎡,南,低层(共22层),2013年建造,盛世郦园,武清,杨村街,"振华西道,近泉达路","南,满五年,",148,万,15698,元/㎡
保利锦上,2室,2厅,1卫,85,㎡,南,,,保利锦上,武清,杨村街,振华西道与建设路交口西侧,"购物中心,高绿化率,",173,万,20353,元/㎡
正荣2期 毛坯2室适合婚房 厨卫全明设计 中间层 次新小区,2室,1厅,1卫,81.48,㎡,南北,中层(共27层),2015年建造,正荣润璟湾,西青,中北,"御河道,近曦露路","南北,满五年,绿化率高,",120,万,14728,元/㎡
桃源居精装修三室 带赠送中间层全明户型 有地铁诚心卖,3室,2厅,1卫,92,㎡,南北,中层(共31层),2018年建造,桃源观邸,塘沽,工农村街,"云山道,近靖海路","南北,热门小区,配套成熟,优势户型,",118,万,12827,元/㎡
正荣2期新上2室 明厨明卫 电梯中间层  次新小区楼龄新,2室,2厅,1卫,82.25,㎡,南,低层(共25层),2015年建造,正荣润璟湾,西青,中北,"御河道,近曦露路","南,满五年,绿化率高,",120,万,14590,元/㎡
新城悦隽央著 停车方便 大两居 精装修 满二 有电梯,2室,2厅,1卫,87.8,㎡,南北,低层(共6层),2022年建造,新城悦隽央著,武清,杨村街,新安路,"南北,满二年,车位充足,",134,万,15262,元/㎡
大型社区 客餐厅相连 低总价 无中介费随时看,3室,2厅,2卫,105,㎡,南北,,,新城悦隽年华,武清,下朱庄街,文汇路与致远道交口,"低容积,",137,万,13048,元/㎡
中建壹方九里宸澜华庭 高楼层采光充足 大两居 商品住宅,2室,2厅,1卫,84,㎡,南北,高层(共11层),2020年建造,中建壹方九里宸澜华庭,武清,杨村街,光明道,"南北,满二年,次新房,",137,万,16310,元/㎡
大地六期两室  业主诚意置换  可随时看房,2室,2厅,1卫,86,㎡,南北,中层(共25层),2014年建造,枫桦园,西青,中北,中北大道94号,"南北,",122.5,万,14245,元/㎡
富力尚悦居 装修好 中间好楼层 房龄新 满五 小三房,3室,2厅,1卫,91.21,㎡,南,中层(共32层),2016年建造,富力尚悦居,武清,杨村街,"雍和道,近与翠通路","南,满五年,",128,万,14034,元/㎡
高绿化率 客餐厅相连 低总价 无中介费随时看,3室,2厅,1卫,89,㎡,南北,,,新城悦隽年华,武清,下朱庄街,文汇路与致远道交口,"低容积,",113,万,12697,元/㎡
杨村街 次新房 满二 正规商品房 南北通透 车位充足 小三居,3室,2厅,1卫,94,㎡,南北,低层(共11层),2022年建造,新城悦隽央著,武清,杨村街,新安路,"南北,满二年,车位充足,",131,万,13937,元/㎡
香雍玖和 低密度社区 高楼层视野无遮挡 正南朝向 停车方便,3室,2厅,1卫,100,㎡,南,高层(共24层),2022年建造,香雍玖和,武清,杨村街,"光明道,近新兴路","南,满二年,绿化率高,多人关注,",125,万,12500,元/㎡
中层金角）拎包即住）本业主熟）直售 少）随时走手续,3室,2厅,1卫,94.98,㎡,南,中层(共22层),2019年建造,旭辉燕南园,西青,精武,京华道21号,"南,满二年,绿化率高,",145,万,15267,元/㎡
客餐厅相连 大户型 河景地产 龙湖·春江郦城|运河印 良心推荐,3室,2厅,2卫,106,㎡,南,,,龙湖·春江郦城|运河印,武清,杨村街,京津公路与振华西道交口（友谊商厦对面）,"低容积,",190,万,17925,元/㎡
盛世郦园 产权清晰 大两居 电梯房 商圈成熟 高楼层视野好,2室,2厅,1卫,94.28,㎡,南,高层(共22层),2013年建造,盛世郦园,武清,杨村街,"振华西道,近泉达路","南,满二年,",136,万,14426,元/㎡
急售 新城悦隽央著 赠15万精装 十三小十一中 紧邻杨一城际,2室,2厅,1卫,88,㎡,南北,低层(共7层),2021年建造,新城悦隽央著,武清,杨村街,新安路,"南北,满二年,车位充足,人气热搜,",132,万,15000,元/㎡
经纬城市绿洲学知华庭 满二 刚需两居 中间楼层 朝南 带电梯,2室,2厅,1卫,86.22,㎡,南,中层(共34层),2016年建造,经纬城市绿洲学知华庭,武清,杨村街,"雍和道,近新开路","南,热门小区,价格优惠,房东急售,",90,万,10439,元/㎡
刚需小三居 带电梯 满五   楼龄新 商业配套齐全 朝南,3室,2厅,1卫,89.54,㎡,南,低层(共9层),2015年建造,万科四季花城雅园,西青,张家窝,文苑路,"南,满五年,人气热搜,",130,万,14519,元/㎡
南北通透 双卫生间 大户型 低单价 亚泰雍阳府 欢迎联系看房,3室,2厅,2卫,109,㎡,南北,,,亚泰雍阳府(新房),武清,杨村街,建设路以东，泉泽路以西（观澜花苑二期对面）,"南北通透,厨卫全明,主卧套房,低容积,",152.6,万,14000,元/㎡
远洋新干线 南北通透 板楼 大产权 带电梯 刚需房,3室,1厅,1卫,86,㎡,南北,低层(共13层),2010年建造,远洋新干线,东丽,空港经济区,"流霞路,近东六道","南北,满五年,",130,万,15117,元/㎡
中交樾公馆 大两居 南北通透 满五 带电梯 房龄新,2室,1厅,1卫,85,㎡,南北,中层(共17层),2016年建造,中交樾公馆,西青,张家窝,枣林大道21号,"南北,满五年,户型方正,人气热搜,",111,万,13059,元/㎡
旭辉御府 不临高铁 好楼层 满5年无个税,3室,2厅,1卫,91.98,㎡,南北,高层(共27层),2015年建造,旭辉御府,西青,中北,"卉康道,近海光路","南北,绿化率高,多人关注,",125.4,万,13634,元/㎡
国企开发 客餐厅相连 大户型 花园洋房 金融街武清金悦府 无中介费随时看,3室,2厅,2卫,120,㎡,南,,,金融街武清金悦府,武清,杨村街,泉京路与泉尚路交汇处,"大户型,低容积,",138,万,11500,元/㎡
张家窝 满五 精装好房 正南朝向 电梯房 居住密度低 小区新,3室,2厅,1卫,87.97,㎡,南,高层(共11层),2014年建造,星河香榭园,西青,张家窝,"高泰路,近知景道","南,满五年,绿化率高,多人关注,",122,万,13869,元/㎡
远洋未来城冬博苑 出行方便 满二   大两居 商业配套成熟,2室,2厅,1卫,88,㎡,南北,高层(共22层),2021年建造,远洋未来城冬博苑,北辰,普东街,宜白路,"南北通透,价格优惠,房东急售,",128,万,14546,元/㎡
杨村街 小区新 满五   大两居 装修好 低密宜居 正南朝向,2室,2厅,1卫,86.29,㎡,南,低层(共6层),2014年建造,金都花园(武清),武清,杨村街,"光明道,近翠源路","南,满五年,",115,万,13328,元/㎡
秋瑞家园 医疗配套成熟 电梯房 交通便利 满五  ,2室,1厅,1卫,86.92,㎡,南,中层(共17层),2006年建造,秋瑞家园,北辰,瑞景街,瑞景西道5号,"南,满五年,近地铁,",93,万,10700,元/㎡
新华联·悦澜湾,3室,2厅,2卫,103,㎡,南北,,,新华联·悦澜湾,武清,杨村街,黄庄街泉尚路与泉雅道交口,"南北通透,厨卫全明,主卧套房,购物中心,",190.6,万,18500,元/㎡
金都花园(武清) 朝南 楼龄新 满五   密度低 大两房,2室,2厅,1卫,86.29,㎡,南,低层(共6层),2014年建造,金都花园(武清),武清,杨村街,"光明道,近翠源路","南,满五年,",120,万,13907,元/㎡
高楼层采光充足 小区新 满五   带电梯 南向采光好,2室,2厅,1卫,81.42,㎡,南,高层(共32层),2016年建造,富力尚悦居,武清,杨村街,"雍和道,近与翠通路","南,满五年,",125,万,15353,元/㎡
全明婚房2居室 地采暖 满五年 中间层,2室,2厅,1卫,80.77,㎡,南,低层(共26层),2016年建造,正荣润璟湾,西青,中北,"御河道,近曦露路","南,绿化率高,多人关注,",120,万,14858,元/㎡
南北通透 客餐厅相连 大户型 保利朗阅 无中介费随时看,2室,2厅,1卫,81,㎡,南,,,保利朗阅,武清,豆张庄镇,新开路与来源道交口东北侧,"南北通透,厨卫全明,动静分离,低容积,",145.8,万,18000,元/㎡
华亭国际洋房 低楼层 公摊少 南北通透全明装修好,2室,2厅,1卫,87.27,㎡,南北,低层(共6层),2007年建造,华亭国际,西青,中北,"中北大道,近星光路","南北,",140,万,16043,元/㎡
离梦想很近 实现舒适三房 体验奢华生活 新婚,3室,1厅,1卫,91.05,㎡,南北,高层(共28层),2015年建造,旭辉御府,西青,中北,"卉康道,近海光路","南北,绿化率高,",126,万,13839,元/㎡
急售~110~11中13小 新城悦隽央著 洋房好楼层 送车位,2室,2厅,1卫,86.49,㎡,南北,低层(共11层),2021年建造,新城悦隽央著,武清,杨村街,新安路,"南北,满二年,车位充足,",120,万,13875,元/㎡
车位充足 大户型 低单价 来电咨询,3室,2厅,2卫,108,㎡,南北,,,津铁镜界,静海,团泊镇,洪泽湖路与鄱阳湖路交口东侧200米,"购物中心,低容积,",135,万,12500,元/㎡
雍鑫红星华府 楼层好 南北通透 精装可拎包入住 有电梯,2室,2厅,1卫,87.32,㎡,南北,中层(共17层),2016年建造,雍鑫红星华府,武清,杨村街,新安路,"南北,满五年,",135,万,15461,元/㎡
振业名邸 急售！红桥房本红桥   交通教育医疗资源富集 次新,2室,1厅,1卫,92.38,㎡,南,高层(共23层),2016年建造,振业名邸,红桥,双环邨街,辰兴路,"南,满五年,近地铁,人气热搜,",139,万,15047,元/㎡
瞧一瞧看一咯 十一中十三小 新小区龙湖春江天玺三居。,3室,2厅,2卫,107,㎡,南北,低层(共7层),2023年建造,龙湖春江天玺,武清,豆张庄镇,新兴路,"南北,热门小区,",125,万,11683,元/㎡
杨村街 商品住宅 小区新 南向采光好 高楼层视野好 满二,3室,2厅,1卫,107.36,㎡,南,高层(共27层),2015年建造,盛世睿园,武清,杨村街,新城南东路东侧,"南,满二年,人气热搜,",128,万,11923,元/㎡
国企开发 南北通透 主卧套房 大户型 中建时代公园 来电咨询,3室,2厅,1卫,89,㎡,南,,,中建时代公园,武清,豆张庄镇,来源道与新安路交口西北侧,"低容积,",160,万,17978,元/㎡
碧泉花园 正南朝向 购物方便 大两居,2室,1厅,1卫,88,㎡,南,低层(共6层),2006年建造,碧泉花园,西青,杨柳青,柳霞路,"南,",120,万,13637,元/㎡
杨村街 板楼 大两居 南北通透 精装修 70年产权,2室,2厅,1卫,81,㎡,南北,低层(共32层),2014年建造,富力尚悦居,武清,杨村街,"雍和道,近与翠通路","南北,满五年,户型方正,",133,万,16420,元/㎡
雍鑫红星华府 大两房 楼龄新 高楼层采光充足 商品住宅,2室,2厅,0卫,87.32,㎡,南北,高层(共17层),2016年建造,雍鑫红星华府,武清,杨村街,新安路,"南北,满二年,",120,万,13743,元/㎡
户型方正 大户型 花园洋房 翡翠半岛 无中介费随时看,3室,2厅,2卫,138,㎡,南北,,,翡翠半岛,武清,杨村街,翠亨路与京津二线交汇处,"大户型,配套纯熟,低容积,",133,万,9638,元/㎡
杨村街 楼龄新 商业配套齐全 环境优美 带电梯 中间好楼层,2室,2厅,1卫,83.54,㎡,南北,中层(共11层),2015年建造,五一阳光锦园,武清,杨村街,"团结路,近强国道","南北,满五年,绿化率高,",126,万,15083,元/㎡
隆达新苑 刚需两居 南北通透 交通便捷 满五 近地铁,2室,1厅,1卫,91.16,㎡,南北,高层(共31层),2013年建造,隆达新苑,河北,江都路街,"增光道,近重光路","热门小区,南北通透,房东急售,",135,万,14810,元/㎡
业主诚售~光明 中富力尚悦居 南向采光好 楼龄新 两居 满五,2室,2厅,1卫,81.31,㎡,南,低层(共32层),2016年建造,富力尚悦居,武清,杨村街,"雍和道,近与翠通路","南,满五年,",120,万,14759,元/㎡
复地湖滨广场 房龄新 刚需两居 高楼层视野无遮挡 交通便捷,2室,1厅,1卫,83,㎡,南,高层(共11层),2016年建造,复地湖滨广场,东丽,空港经济区,"中环东路,近东四道","南,满五年,",156,万,18796,元/㎡
高绿化率 大户型 低单价 欢迎联系看房,3室,2厅,2卫,110,㎡,南北,,,南湖映月,武清,下朱庄街,天津市武清区下朱庄街道天和路与藕甸道西南交汇口,"大户型,购物中心,低容积,",126.5,万,11500,元/㎡
雍鑫红星华府 满二   大两房 楼龄新 正南朝向 带电梯,2室,2厅,0卫,88.27,㎡,南,低层(共11层),2016年建造,雍鑫红星华府,武清,杨村街,新安路,"南,满二年,",135,万,15294,元/㎡
旭辉三期精装两室 中间层 满五年 有车位 采光好 急售,2室,2厅,1卫,88.58,㎡,南,中层(共27层),2017年建造,旭辉御府,西青,中北,"卉康道,近海光路","南,满五年,绿化率高,",125,万,14112,元/㎡
宝翠花都探景园 临地铁 交通便捷 刚需两居 产权清晰,2室,1厅,1卫,87.15,㎡,南北,中层(共6层),2006年建造,宝翠花都探景园,北辰,瑞景街,龙泉道,"南北,满五年,近地铁,",136,万,15606,元/㎡
香锦园(新房),2室,2厅,1卫,90,㎡,南,,,香锦园(新房),西青,张家窝,知景道309号,"卧室全朝南,南北通透,高绿化率,",118,万,13112,元/㎡
合适只售128.00万元 报价非常合适 着急出售,2室,2厅,1卫,86.38,㎡,南北,高层(共11层),2021年建造,新城悦隽央著,武清,杨村街,新安路,"南北,满二年,车位充足,",128,万,14819,元/㎡
杨村街 带电梯 满二 房龄新 南北通透 楼层好,2室,2厅,1卫,85,㎡,南北,中层(共18层),2016年建造,通泰香滨城,武清,杨村街,"富民道,近站北路","南北,满二年,户型方正,",148,万,17412,元/㎡
凤栖梧桐翠谷园 临地铁 商品住宅 正南朝向 带电梯 大两房,2室,1厅,1卫,90,㎡,南,高层(共30层),2020年建造,凤栖梧桐翠谷园,滨海新区,中新生态城,"华三路,近新一街","南,满二年,次新房,",146,万,16223,元/㎡
厨卫全明 户型方正 大户型 天津远郊 世茂国风雅颂 来电咨询,3室,2厅,2卫,135,㎡,南,,,世茂国风雅颂(新房),武清,杨村街,黄庄街滨河道与泉奉路交口,"南北通透,厨卫全明,主卧套房,低容积,",195.8,万,14500,元/㎡
保利 河雅颂(北区) 满五   刚需两居 电梯房 朝南,2室,2厅,1卫,83.87,㎡,南,低层(共31层),2010年建造,保利上河雅颂(北区),武清,杨村街,"振华西道,近泉保路","南,VIP房东直卖,满五年,",120,万,14308,元/㎡
尚园 购物方便 满二   带电梯 高楼层视野无遮挡 精装好房,2室,2厅,1卫,85,㎡,南,高层(共16层),2018年建造,尚园,武清,杨村街,富民道,"南,满二年,",117,万,13765,元/㎡
天穆 医疗配套成熟 刚需小三居 次新小区 电梯房 商品住宅,3室,1厅,1卫,97.74,㎡,南北,低层(共28层),2021年建造,雍祥府,北辰,天穆,"龙门东道,近高峰路","南北,热门小区,房东急售,随时可看,",139,万,14222,元/㎡
贻成学府壹号 南开对面 新房未住 视野无遮挡 商超便利,2室,2厅,1卫,83,㎡,南北,高层(共28层),2020年建造,贻成学府壹号,滨海新区,中新生态城,中天大道,"南北,满二年,车位充足,多人关注,",120,万,14458,元/㎡
南北通透 主卧套房 大户型 英才计划 四季春晓 无中介费随时看,2室,2厅,1卫,78,㎡,南北,,,四季春晓,津南,海河教育园区,嘉明路与雅馨路交口,"南北通透,厨卫全明,客餐厅相连,轨交房,",148.2,万,19000,元/㎡
枫丹天城 商圈成熟 带电梯 满五   小区新 朝南,2室,2厅,0卫,81.77,㎡,南,高层(共32层),2016年建造,枫丹天城,武清,杨村街,"雍阳西道,近翠源路","南,满五年,",120,万,14676,元/㎡
大两居 满五   楼龄新 中间楼层采光好 南向采光好 有电梯,2室,2厅,0卫,86.66,㎡,南,中层(共21层),2017年建造,远洋香奈,武清,杨村街,"翠通路,近强国道","南,满五年,",120,万,13848,元/㎡
枫丹天城 中间楼层 正南朝向 商业配套齐全 大两居 有电梯,2室,1厅,1卫,81.23,㎡,南,中层(共32层),2016年建造,枫丹天城,武清,杨村街,"雍阳西道,近翠源路","南,满五年,",118,万,14527,元/㎡
南北通透 客餐厅相连 大户型 特变·中央湖 来电价格可议,2室,2厅,1卫,89,㎡,南北,,,特变·中央湖,武清,杨村街,滨湖路与慧源道交叉口西侧,"南北通透,厨卫全明,客餐厅相连,低容积,",146.9,万,16500,元/㎡
十一中 经纬二期 三居双卫 中高楼层 采光好 满两年,3室,2厅,2卫,120.94,㎡,南,高层(共27层),2023年建造,经纬城市绿洲学知华庭,武清,杨村街,"雍和道,近新开路","南,满二年,车位充足,人气热搜,",125,万,10336,元/㎡
南向采光好 出行方便 满五   临地铁 有电梯 近医院,2室,1厅,1卫,76,㎡,南,低层(共24层),2013年建造,嘉畅园,河北,建昌道街,缤纷路604号,"南,配套成熟,优势户型,随时可看,",115,万,15132,元/㎡
枫丹天城 近光明   精装 拎包入住 好楼层采光好 总价低,2室,2厅,1卫,75.37,㎡,南,中层(共32层),2016年建造,枫丹天城,武清,杨村街,"雍阳西道,近翠源路","南,满五年,",119.5,万,15856,元/㎡
杨村街 车位充足 正南朝向 小三居 正规商品房 次新小区,3室,2厅,1卫,99.96,㎡,南,高层(共24层),2022年建造,香雍玖和,武清,杨村街,"光明道,近新兴路","南,满二年,绿化率高,",127,万,12706,元/㎡
轨交房 低容积 大户型 欢迎联系看房,3室,2厅,1卫,89,㎡,南北,,,天保意境芳华,东丽,华明镇,东八道与兴宇路交口,"轨交房,低容积,",156,万,17529,元/㎡
新港街祥和家园双阳金角户型主卧带阳台看房有钥匙紧邻热卖 地铁,2室,2厅,1卫,100,㎡,东南,高层(共34层),2010年建造,世纪祥和家园(滨海),塘沽,新港街,春阳路,"东南,热门小区,南北通透,配套成熟,",127,万,12700,元/㎡
万科大2室 院景洋房3楼 自持物业 一梯两户,2室,2厅,1卫,97.65,㎡,南北,中层(共6层),2009年建造,万科假日风景,西青,中北,"中北大道,近星光路","南北,人气热搜,",145,万,14849,元/㎡
新城悦隽央著 南北通透 次新房 商品住宅 大两房 停车方便,2室,2厅,1卫,89.53,㎡,南北,低层(共6层),2022年建造,新城悦隽央著,武清,杨村街,新安路,"南北,满二年,车位充足,",130,万,14521,元/㎡
国企开发 南北通透 玄关入户 大户型 中建国贤府 欢迎联系看房,3室,2厅,2卫,99,㎡,南,,,中建国贤府,武清,杨村街,来源道与新安路交口,"卧室全朝南,南北通透,三房朝南,低容积,",188.1,万,19000,元/㎡
12中 17小 翠景园 南北通透 购物方便 中间楼层采光好,2室,2厅,1卫,90,㎡,南北,共5层,2010年建造,翠景园(武清),武清,杨村街,泉达路,"南北,满二年,",140,万,15556,元/㎡
   远洋香奈全阳精装两居 位置好近城际 随时看房,2室,2厅,1卫,85.22,㎡,南北,低层(共26层),2015年建造,远洋香奈,武清,杨村街,"翠通路,近强国道","南北,满二年,",140,万,16429,元/㎡
满五   南北通透 2室2厅 精装修 领包入住,2室,2厅,1卫,89.89,㎡,南北,中层(共28层),2010年建造,富力桃园天富园,津南,双港,微山南路,"南北,满五年,近地铁,",120,万,13350,元/㎡
南北通透 客餐厅相连 大户型 天津远郊 经纬城市绿洲武清二期 无中介费随时看,3室,2厅,2卫,125,㎡,南北,,,经纬城市绿洲武清二期,武清,杨村街,雍和道与新安路交口,"南北通透,厨卫全明,双卫生间,高绿化率,",165,万,13200,元/㎡
翠景园(武清) 正南朝向 产权清晰 小三房 高楼层采光充足,3室,2厅,1卫,108.6,㎡,南,共5层,2008年建造,翠景园(武清),武清,杨村街,泉达路,"南,满二年,",143,万,13168,元/㎡
杨村街 刚需两居 高楼层采光充足 装修好 电梯房 满五,2室,2厅,1卫,100.8,㎡,南北,高层(共24层),2009年建造,北岸尚城,武清,杨村街,"翠通路,近强国道","南北,满五年,",120,万,11905,元/㎡
宝龙城北苑 刚需小三居 房龄新 精装好房 满五 集中供暖,3室,2厅,1卫,88.9,㎡,南北,低层(共11层),2017年建造,宝龙城北苑,滨海新区,中新生态城,海晨道,"南北,满五年,户型方正,",111,万,12486,元/㎡
盛庭名景 新上精装修两室 银角 紧邻地铁 诚意出售 随时看房,2室,2厅,1卫,92,㎡,南北,高层(共22层),2019年建造,盛庭名景花园,北辰,瑞景街,"辰景路,近新园路","南北,满二年,近地铁,次新房,",146,万,15870,元/㎡
经纬城市绿洲学知华庭 房龄新 南北通透 带电梯,4室,2厅,2卫,105.48,㎡,南北,高层(共31层),2018年建造,经纬城市绿洲学知华庭,武清,杨村街,"雍和道,近新开路","南北,满五年,车位充足,",130,万,12325,元/㎡
紧邻地铁，香雪苑通透两室，旁边商业餐饮一应俱全,2室,2厅,1卫,96.4,㎡,南北,低层(共28层),2012年建造,香雪苑,津南,双港,景荷道,"南北,满五年,近地铁,",125,万,12967,元/㎡
全天阳光，采光好，看 房子价格好谈，有钥匙！,2室,2厅,1卫,99.45,㎡,南北,低层(共16层),2008年建造,福渔园,大港,古林街,海景十路,"南北,满五年,车位充足,",119,万,11966,元/㎡
降价20万！！11 中经纬二期85万新装修出门  菜市场靠谱,2室,2厅,1卫,83.99,㎡,南北,低层(共18层),2016年建造,经纬城市绿洲学知华庭,武清,杨村街,"雍和道,近新开路","南北,车位充足,多人关注,",86,万,10240,元/㎡
业主急售海清园精装修两室低楼层适合老人居住,2室,2厅,1卫,91,㎡,南北,低层(共11层),2018年建造,海清园,大港,古林街,海景六路,"南北,满二年,",119.7,万,13154,元/㎡
134万 通达新苑三室 看房方便 业主诚意出售,3室,1厅,1卫,94.2,㎡,南,低层(共28层),2000年建造,通达新苑,河北,江都路街,革新道4号,"南,满五年,近地铁,多人关注,",134,万,14226,元/㎡
满五   南北通透 2室2厅 精装修,2室,2厅,1卫,101,㎡,南北,低层(共15层),2012年建造,美林园,滨海新区,中新生态城,中天大道2377号,"南北,满五年,",139,万,13763,元/㎡
正南朝向 带电梯 精装可拎包入住 大两房 小区新 满五  ,2室,2厅,1卫,99.08,㎡,南,中层(共33层),2017年建造,首创城星景苑,津南,辛庄,鑫怡路,"南,满五年,",115,万,11607,元/㎡
泽信公园御府 小三居 正南朝向 次新房 停车方便 有电梯,3室,1厅,1卫,88.33,㎡,南,中层(共18层),2022年建造,泽信公园御府,北辰,青光,"辰柳路,近新致道","南,有电梯,车位充足,",130,万,14718,元/㎡
丽悦园 金角户型 无遮挡 诚意卖 价格可议,2室,1厅,1卫,95.31,㎡,南北,低层(共11层),2015年建造,金隅悦城丽悦园,东丽,张贵庄街,跃进路,"南北,近地铁,",135,万,14165,元/㎡
河东 2000年商品房  可改三室 看房方便 无个税,2室,2厅,1卫,95.51,㎡,南北,高层(共6层),2003年建造,大众家园,河东,常州道,真理道,"南北,满五年,近地铁,多人关注,",130,万,13612,元/㎡
香雪苑装修没住过 采光充足 南北通透 有电梯  近地铁,2室,2厅,1卫,96.75,㎡,南,高层(共22层),2013年建造,香雪苑,津南,双港,景荷道,"南,满五年,近地铁,",134.8,万,13933,元/㎡
秀悦园 银角南北通透三室户型 中间楼层采光好,2室,2厅,1卫,94.63,㎡,南北,高层(共10层),2011年建造,金隅悦城秀悦园,东丽,张贵庄街,跃进路,"南北,近地铁,",136,万,14372,元/㎡
宝龙城 三室满五   有车位 楼层好 位置好,3室,2厅,1卫,89.48,㎡,南北,高层(共11层),2017年建造,宝龙城北苑,滨海新区,中新生态城,海晨道,"南北,满五年,",115,万,12853,元/㎡
超低密度 大两房 产权清晰 南北通透 楼层好 满二,2室,2厅,1卫,114,㎡,南北,共5层,2009年建造,北岸尚城,武清,杨村街,"翠通路,近强国道","南北,满二年,",132,万,11579,元/㎡
有电梯 刚需小三居 满二 房龄新 精装好房 高楼层视野无遮挡,3室,2厅,1卫,105.48,㎡,南,高层(共34层),2016年建造,经纬城市绿洲学知华庭,武清,杨村街,"雍和道,近新开路","南,满二年,车位充足,",132,万,12515,元/㎡
融创半湾半岛 中间楼层 满五 电梯房 楼龄新 精装可拎包入住,3室,2厅,2卫,117.17,㎡,南北,中层(共31层),2017年建造,融创半湾半岛,北辰,双街镇,双进道,"南北,热门小区,价格优惠,房东急售,",130,万,11095,元/㎡
融泰城 临地铁 双卫格局 南北通透 交通便捷 带电梯,3室,2厅,2卫,104,㎡,南北,低层(共27层),2016年建造,融泰城,西青,李七庄,秀川路215号,"南北,满五年,户型方正,",149,万,14327,元/㎡
次新房 景瑞陆号 精装三室 所见即所得 价可谈 车位,3室,2厅,1卫,89,㎡,南北,低层(共7层),2020年建造,景瑞塘沽湾陆号,滨海新区,滨海城区,国兴路,"南北,满二年,车位充足,",113,万,12697,元/㎡
碧水庄园 南北通透 中间好楼层 大两房 满五 临地铁,2室,2厅,1卫,101,㎡,南北,共5层,2003年建造,碧水庄园,塘沽,西大沽街,"安阳道,近迎宾大道","南北,满五年,",116,万,11486,元/㎡
中心商务区    中国塘精装修两室     便宜好房,2室,1厅,1卫,88.62,㎡,南,高层(共24层),2015年建造,中国塘,塘沽,新港街,"洞庭路,近上海道","南,满五年,",168,万,18958,元/㎡
